country,year,affected,continent,percent_affected,month
Afghanistan,2020,8425333,Asia,28.801,3
Afghanistan,2022,9240934,Asia,30.332,5
Afghanistan,2020,10267083,Asia,31.997,10
Afghanistan,2023,11537966,Asia,34.02,12
Afghanistan,2023,13079460,Asia,36.088,6
Afghanistan,2023,14880372,Asia,38.438,6
Afghanistan,2022,12881816,Asia,39.854,12
Afghanistan,2020,13867957,Asia,40.822,12
Afghanistan,2022,16317921,Asia,41.674,4
Afghanistan,2020,22227415,Asia,41.763,3
Afghanistan,2023,25268405,Asia,42.129,4
Afghanistan,2021,31889923,Asia,43.828,5
Albania,2023,1282697,Europe,55.23,2
Albania,2021,1476505,Europe,59.28,10
Albania,2023,1728137,Europe,64.82,8
Albania,2023,1984060,Europe,66.22,12
Albania,2020,2263554,Europe,67.69,9
Albania,2023,2509048,Europe,68.93,9
Albania,2023,2780097,Europe,70.42,6
Albania,2022,3075321,Europe,72,6
Albania,2020,3326498,Europe,71.581,7
Albania,2021,3428038,Europe,72.95,4
Albania,2020,3508512,Europe,75.651,3
Albania,2024,3600523,Europe,76.423,9
Algeria,2020,9279525,Africa,43.077,3
Algeria,2024,10270856,Africa,45.685,2
Algeria,2023,11000948,Africa,48.303,6
Algeria,2021,12760499,Africa,51.407,5
Algeria,2020,14760787,Africa,54.518,5
Algeria,2023,17152804,Africa,58.014,5
Algeria,2023,20033753,Africa,61.368,5
Algeria,2024,23254956,Africa,65.799,7
Algeria,2020,26298373,Africa,67.744,6
Algeria,2021,29072015,Africa,69.152,7
Algeria,2022,31287142,Africa,70.994,2
Algeria,2024,33333216,Africa,72.301,12
Angola,2022,4232095,Africa,30.015,7
Angola,2021,4561361,Africa,31.999,2
Angola,2022,4826015,Africa,34,2
Angola,2022,5247469,Africa,35.985,10
Angola,2024,5894858,Africa,37.928,7
Angola,2022,6162675,Africa,39.483,9
Angola,2021,7016384,Africa,39.942,6
Angola,2024,7874230,Africa,39.906,8
Angola,2023,8735988,Africa,40.647,6
Angola,2024,9875024,Africa,40.963,12
Angola,2021,10866106,Africa,41.003,8
Angola,2020,12420476,Africa,42.731,12
Argentina,2020,17876956,Americas,62.485,5
Argentina,2020,19610538,Americas,64.399,5
Argentina,2024,21283783,Americas,65.142,3
Argentina,2021,22934225,Americas,65.634,11
Argentina,2021,24779799,Americas,67.065,11
Argentina,2020,26983828,Americas,68.481,3
Argentina,2023,29341374,Americas,69.942,10
Argentina,2020,31620918,Americas,70.774,1
Argentina,2021,33958947,Americas,71.868,10
Argentina,2023,36203463,Americas,73.275,1
Argentina,2021,38331121,Americas,74.34,1
Argentina,2020,40301927,Americas,75.32,1
Australia,2020,8691212,Oceania,69.12,12
Australia,2020,9712569,Oceania,70.33,2
Australia,2024,10794968,Oceania,70.93,12
Australia,2020,11872264,Oceania,71.1,12
Australia,2021,13177000,Oceania,71.93,12
Australia,2021,14074100,Oceania,73.49,5
Australia,2022,15184200,Oceania,74.74,12
Australia,2021,16257249,Oceania,76.32,9
Australia,2021,17481977,Oceania,77.56,9
Australia,2020,18565243,Oceania,78.83,12
Australia,2022,19546792,Oceania,80.37,4
Australia,2020,20434176,Oceania,81.235,11
Austria,2021,6927772,Europe,66.8,8
Austria,2024,6965860,Europe,67.48,2
Austria,2024,7129864,Europe,69.54,4
Austria,2024,7376998,Europe,70.14,12
Austria,2020,7544201,Europe,70.63,5
Austria,2022,7568430,Europe,72.17,2
Austria,2020,7574613,Europe,73.18,9
Austria,2024,7578903,Europe,74.94,1
Austria,2024,7914969,Europe,76.04,1
Austria,2022,8069876,Europe,77.51,4
Austria,2020,8148312,Europe,78.98,6
Austria,2024,8199783,Europe,79.829,9
Bahrain,2023,120447,Asia,50.939,2
Bahrain,2024,138655,Asia,53.832,3
Bahrain,2022,171863,Asia,56.923,4
Bahrain,2020,202182,Asia,59.923,10
Bahrain,2024,230800,Asia,63.3,7
Bahrain,2023,297410,Asia,65.593,2
Bahrain,2024,377967,Asia,69.052,10
Bahrain,2022,454612,Asia,70.75,5
Bahrain,2023,529491,Asia,72.601,4
Bahrain,2020,598561,Asia,73.925,5
Bahrain,2024,656397,Asia,74.795,6
Bahrain,2024,708573,Asia,75.635,10
Bangladesh,2023,46886859,Asia,37.484,7
Bangladesh,2020,51365468,Asia,39.348,4
Bangladesh,2023,56839289,Asia,41.216,11
Bangladesh,2020,62821884,Asia,43.453,11
Bangladesh,2024,70759295,Asia,45.252,1
Bangladesh,2023,80428306,Asia,46.923,12
Bangladesh,2023,93074406,Asia,50.009,11
Bangladesh,2022,103764241,Asia,52.819,10
Bangladesh,2022,113704579,Asia,56.018,1
Bangladesh,2022,123315288,Asia,59.412,7
Bangladesh,2021,135656790,Asia,62.013,9
Bangladesh,2021,150448339,Asia,64.062,12
Belgium,2024,8730405,Europe,68,9
Belgium,2021,8989111,Europe,69.24,12
Belgium,2020,9218400,Europe,70.25,11
Belgium,2024,9556500,Europe,70.94,5
Belgium,2020,9709100,Europe,71.44,9
Belgium,2024,9821800,Europe,72.8,10
Belgium,2020,9856303,Europe,73.93,1
Belgium,2022,9870200,Europe,75.35,1
Belgium,2021,10045622,Europe,76.46,5
Belgium,2024,10199787,Europe,77.53,7
Belgium,2022,10311970,Europe,78.32,5
Belgium,2024,10392226,Europe,79.441,2
Benin,2024,1738315,Africa,38.223,11
Benin,2023,1925173,Africa,40.358,3
Benin,2020,2151895,Africa,42.618,6
Benin,2020,2427334,Africa,44.885,7
Benin,2022,2761407,Africa,47.014,9
Benin,2023,3168267,Africa,49.19,10
