Country Name,Year,Vaccine,Vaccinated
India,2020,Covishield,100000
India,2020,Covaxin,50000
India,2020,Sputnik V,40000
India,2020,ZyCoV-D,0
India,2020,Pfizer,0
India,2020,Moderna,0
India,2021,Covishield,150000
India,2021,Covaxin,75000
India,2021,Sputnik V,20000
India,2021,ZyCoV-D,0
India,2021,Pfizer,0
India,2021,Moderna,0
India,2022,Covishield,200000
India,2022,Covaxin,100000
India,2022,Sputnik V,20000
India,2022,ZyCoV-D,0
India,2022,Pfizer,0
India,2022,Moderna,0
India,2023,Pfizer,0
India,2023,Moderna,0
India,2023,Sputnik V,30000
India,2023,Covaxin,125000
India,2023,ZyCoV-D,0
India,2023,Covishield,200000
India,2024,Covishield,200000
India,2024,Covaxin,100000
India,2024,Sputnik V,20000
India,2024,ZyCoV-D,0
India,2024,Covishield,250000
India,2024,Bharat-Biotech,150000
Argentina,2020,Oxford/AstraZeneca,1
Argentina,2020,Sinopharm/Beijing,1
Argentina,2020,Sputnik V,104489
Argentina,2020,Covishield,0
Argentina,2020,Covaxin,0
Argentina,2020,Moderna,28211726
Argentina,2021,CanSino,12957439
Argentina,2021,Moderna,428211726
Argentina,2021,Oxford/AstraZeneca,3373819439
Argentina,2021,Pfizer/BioNTech,283977509
Argentina,2021,Sinopharm/Beijing,3304068037
Argentina,2021,Sputnik V,3353567442
Argentina,2022,CanSino,260425034
Argentina,2022,Moderna,3635428595
Argentina,2022,Oxford/AstraZeneca,8311482568
Argentina,2022,Pfizer/BioNTech,6145700630
Argentina,2022,Sinopharm/Beijing,10379537677
Argentina,2022,Sputnik V,6804428367
Argentina,2023,CanSino,17802985
Argentina,2023,Moderna,6522513218
Argentina,2023,Oxford/AstraZeneca,1285553162
Argentina,2023,Pfizer/BioNTech,7265090375
Argentina,2023,Sinopharm/Beijing,7155744948
Argentina,2023,Sputnik Light,2992290
Argentina,2024,Sputnik V,1162491847
Argentina,2024,Moderna,500954352
Argentina,2024,Pfizer/BioNTech,538329483
Argentina,2024,Covishield,0
Argentina,2024,Covishield,0
Argentina,2024,Bharat-Biotech,0
