Country Name,vaccine_type,total_vaccinations,Year
Argentina,Oxford/AstraZeneca,1,2020
Argentina,Sinopharm/Beijing,1,2020
Argentina,Sputnik V,20493,2020
Argentina,Sputnik V,40595,2020
Argentina,Sputnik V,43401,2020
Argentina,Oxford/AstraZeneca,3,2021
Argentina,Sputnik V,43528,2021
Argentina,Oxford/AstraZeneca,4,2021
Argentina,Pfizer/BioNTech,1,2021
Argentina,Sputnik V,46838,2021
Argentina,Pfizer/BioNTech,3,2021
Argentina,Sputnik V,47282,2021
Argentina,Sputnik V,57745,2021
Argentina,Sinopharm/Beijing,5,2021
Argentina,Sputnik V,68472,2021
Argentina,Oxford/AstraZeneca,5,2021
Argentina,Pfizer/BioNTech,6,2021
Argentina,Sinopharm/Beijing,8,2021
Argentina,Sputnik V,78585,2021
Argentina,Oxford/AstraZeneca,9,2021
Argentina,Pfizer/BioNTech,8,2021
Argentina,Sinopharm/Beijing,10,2021
Argentina,Sputnik V,96811,2021
Argentina,Oxford/AstraZeneca,10,2021
Argentina,Sputnik V,124704,2021
Argentina,Oxford/AstraZeneca,11,2021
Argentina,Pfizer/BioNTech,9,2021
Argentina,Sinopharm/Beijing,11,2021
Argentina,Sputnik V,134912,2021
Argentina,Pfizer/BioNTech,12,2021
Argentina,Sinopharm/Beijing,12,2021
Argentina,Sputnik V,136087,2021
Argentina,Oxford/AstraZeneca,12,2021
Argentina,Sinopharm/Beijing,14,2021
Argentina,Sputnik V,155915,2021
Argentina,Oxford/AstraZeneca,14,2021
Argentina,Pfizer/BioNTech,13,2021
Argentina,Sinopharm/Beijing,17,2021
Argentina,Sputnik V,175306,2021
Argentina,Moderna,1,2021
Argentina,Oxford/AstraZeneca,15,2021
Argentina,Sinopharm/Beijing,21,2021
Argentina,Sputnik V,192078,2021
Argentina,Pfizer/BioNTech,14,2021
Argentina,Sinopharm/Beijing,22,2021
Argentina,Sputnik V,208726,2021
Argentina,Sputnik V,226173,2021
Argentina,Sputnik V,232058,2021
Argentina,Pfizer/BioNTech,15,2021
Argentina,Sputnik V,233121,2021
Argentina,Pfizer/BioNTech,16,2021
Argentina,Sputnik V,242954,2021
Argentina,CanSino,1,2021
Argentina,Sinopharm/Beijing,24,2021
Argentina,Sputnik V,256208,2021
Argentina,Sputnik V,275642,2021
Argentina,Oxford/AstraZeneca,20,2021
Argentina,Sinopharm/Beijing,26,2021
Argentina,Sputnik V,289756,2021
Argentina,Oxford/AstraZeneca,23,2021
Argentina,Sinopharm/Beijing,27,2021
Argentina,Sputnik V,298976,2021
Argentina,Oxford/AstraZeneca,28,2021
Argentina,Sputnik V,302921,2021
Argentina,Oxford/AstraZeneca,29,2021
Argentina,Sputnik V,303224,2021
Argentina,Oxford/AstraZeneca,37,2021
Argentina,Sputnik V,317436,2021
Argentina,Oxford/AstraZeneca,75,2021
Argentina,Sinopharm/Beijing,28,2021
Argentina,Sputnik V,330214,2021
Argentina,Oxford/AstraZeneca,77,2021
Argentina,Sputnik V,340327,2021
Argentina,Oxford/AstraZeneca,78,2021
Argentina,Sputnik V,356376,2021
Argentina,Oxford/AstraZeneca,79,2021
Argentina,Sputnik V,379880,2021
Argentina,Sputnik V,389196,2021
Argentina,CanSino,2,2021
Argentina,Sinopharm/Beijing,29,2021
Argentina,Sputnik V,389819,2021
Argentina,Oxford/AstraZeneca,98,2021
Argentina,Sinopharm/Beijing,30,2021
Argentina,Sputnik V,409335,2021
Argentina,Oxford/AstraZeneca,131,2021
Argentina,Sputnik V,433186,2021
Argentina,Oxford/AstraZeneca,139,2021
Argentina,Sinopharm/Beijing,33,2021
Argentina,Sputnik V,459800,2021
Argentina,Moderna,2,2021
Argentina,Oxford/AstraZeneca,144,2021
Argentina,Sinopharm/Beijing,56,2021
Argentina,Sputnik V,487914,2021
Argentina,CanSino,4,2021
Argentina,Oxford/AstraZeneca,149,2021
Argentina,Sinopharm/Beijing,63,2021
Argentina,Sputnik V,520948,2021
Argentina,Sinopharm/Beijing,68,2021
Argentina,Sputnik V,531875,2021
Argentina,Oxford/AstraZeneca,150,2021
Argentina,Sinopharm/Beijing,72,2021
Argentina,Sputnik V,533255,2021
Argentina,Oxford/AstraZeneca,152,2021
Argentina,Sinopharm/Beijing,74,2021
Argentina,Sputnik V,556688,2021
Argentina,Moderna,3,2021
Argentina,Oxford/AstraZeneca,154,2021
Argentina,Sinopharm/Beijing,80,2021
Argentina,Sputnik V,576884,2021
Argentina,Oxford/AstraZeneca,157,2021
Argentina,Sinopharm/Beijing,85,2021
Argentina,Sputnik V,592505,2021
Argentina,Oxford/AstraZeneca,160,2021
Argentina,Sinopharm/Beijing,91,2021
Argentina,Sputnik V,610358,2021
Argentina,Oxford/AstraZeneca,161,2021
Argentina,Sinopharm/Beijing,92,2021
Argentina,Sputnik V,626200,2021
Argentina,Oxford/AstraZeneca,163,2021
Argentina,Sinopharm/Beijing,94,2021
Argentina,Sputnik V,629232,2021
Argentina,Sinopharm/Beijing,96,2021
Argentina,Sputnik V,629383,2021
Argentina,Pfizer/BioNTech,17,2021
Argentina,Sinopharm/Beijing,98,2021
Argentina,Sputnik V,630698,2021
Argentina,Oxford/AstraZeneca,175,2021
Argentina,Pfizer/BioNTech,18,2021
Argentina,Sinopharm/Beijing,100,2021
Argentina,Sputnik V,631996,2021
Argentina,Oxford/AstraZeneca,186,2021
Argentina,Sinopharm/Beijing,103,2021
Argentina,Sputnik V,656399,2021
Argentina,Oxford/AstraZeneca,217,2021
Argentina,Pfizer/BioNTech,19,2021
Argentina,Sinopharm/Beijing,107,2021
Argentina,Sputnik V,720212,2021
Argentina,Oxford/AstraZeneca,407,2021
Argentina,Sinopharm/Beijing,108,2021
Argentina,Sputnik V,787933,2021
Argentina,Oxford/AstraZeneca,555,2021
Argentina,Sinopharm/Beijing,109,2021
Argentina,Sputnik V,820409,2021
Argentina,Oxford/AstraZeneca,956,2021
Argentina,Sputnik V,840190,2021
Argentina,Oxford/AstraZeneca,23569,2021
Argentina,Sputnik V,885173,2021
Argentina,Oxford/AstraZeneca,73783,2021
Argentina,Sinopharm/Beijing,111,2021
Argentina,Sputnik V,921941,2021
Argentina,Oxford/AstraZeneca,135888,2021
Argentina,Sinopharm/Beijing,114,2021
Argentina,Sputnik V,953704,2021
Argentina,Oxford/AstraZeneca,189066,2021
Argentina,Sinopharm/Beijing,118,2021
Argentina,Sputnik V,980022,2021
Argentina,Oxford/AstraZeneca,245141,2021
Argentina,Sinopharm/Beijing,127,2021
Argentina,Sputnik V,1005664,2021
Argentina,Moderna,4,2021
Argentina,Oxford/AstraZeneca,258491,2021
Argentina,Sinopharm/Beijing,128,2021
Argentina,Sputnik V,1010224,2021
Argentina,Oxford/AstraZeneca,263842,2021
Argentina,Sinopharm/Beijing,129,2021
Argentina,Sputnik V,1011001,2021
Argentina,Oxford/AstraZeneca,317182,2021
Argentina,Sinopharm/Beijing,831,2021
Argentina,Sputnik V,1031548,2021
Argentina,Oxford/AstraZeneca,368832,2021
Argentina,Sinopharm/Beijing,5797,2021
Argentina,Sputnik V,1050580,2021
Argentina,Oxford/AstraZeneca,404831,2021
Argentina,Sinopharm/Beijing,23634,2021
Argentina,Sputnik V,1068274,2021
Argentina,Oxford/AstraZeneca,430562,2021
Argentina,Sinopharm/Beijing,87942,2021
Argentina,Sputnik V,1090340,2021
Argentina,Oxford/AstraZeneca,454862,2021
Argentina,Sinopharm/Beijing,154460,2021
Argentina,Sputnik V,1111289,2021
Argentina,Oxford/AstraZeneca,462781,2021
Argentina,Sinopharm/Beijing,196888,2021
Argentina,Sputnik V,1115893,2021
Argentina,Oxford/AstraZeneca,467757,2021
Argentina,Sinopharm/Beijing,203333,2021
Argentina,Sputnik V,1116270,2021
Argentina,Oxford/AstraZeneca,499342,2021
Argentina,Pfizer/BioNTech,20,2021
Argentina,Sinopharm/Beijing,256286,2021
Argentina,Sputnik V,1134256,2021
Argentina,Oxford/AstraZeneca,515689,2021
Argentina,Sinopharm/Beijing,319405,2021
Argentina,Sputnik V,1170622,2021
Argentina,Oxford/AstraZeneca,527779,2021
Argentina,Sinopharm/Beijing,418153,2021
Argentina,Sputnik V,1223800,2021
Argentina,Oxford/AstraZeneca,537726,2021
Argentina,Sinopharm/Beijing,503050,2021
Argentina,Sputnik V,1315876,2021
Argentina,Oxford/AstraZeneca,545250,2021
Argentina,Sinopharm/Beijing,564204,2021
Argentina,Sputnik V,1408901,2021
Argentina,Oxford/AstraZeneca,548229,2021
Argentina,Sinopharm/Beijing,574711,2021
Argentina,Sputnik V,1441817,2021
Argentina,Oxford/AstraZeneca,548278,2021
Argentina,Sinopharm/Beijing,581369,2021
Argentina,Sputnik V,1444284,2021
Argentina,Oxford/AstraZeneca,554702,2021
Argentina,Sinopharm/Beijing,621994,2021
Argentina,Sputnik V,1534889,2021
Argentina,Oxford/AstraZeneca,557822,2021
Argentina,Sinopharm/Beijing,656674,2021
Argentina,Sputnik V,1630850,2021
Argentina,Oxford/AstraZeneca,560535,2021
Argentina,Sinopharm/Beijing,679655,2021
Argentina,Sputnik V,1744779,2021
Argentina,Moderna,6,2021
Argentina,Oxford/AstraZeneca,562224,2021
Argentina,Sinopharm/Beijing,701809,2021
Argentina,Sputnik V,1859921,2021
Argentina,Oxford/AstraZeneca,564073,2021
Argentina,Pfizer/BioNTech,21,2021
Argentina,Sinopharm/Beijing,725418,2021
Argentina,Sputnik V,1960688,2021
Argentina,Oxford/AstraZeneca,564415,2021
Argentina,Sinopharm/Beijing,729358,2021
Argentina,Sputnik V,2007298,2021
Argentina,CanSino,5,2021
Argentina,Oxford/AstraZeneca,564438,2021
Argentina,Sinopharm/Beijing,729707,2021
Argentina,Sputnik V,2026561,2021
Argentina,Oxford/AstraZeneca,565910,2021
Argentina,Sinopharm/Beijing,747109,2021
Argentina,Sputnik V,2090768,2021
Argentina,Oxford/AstraZeneca,570601,2021
Argentina,Sinopharm/Beijing,760669,2021
Argentina,Sputnik V,2179027,2021
Argentina,Oxford/AstraZeneca,571879,2021
Argentina,Sinopharm/Beijing,763811,2021
Argentina,Sputnik V,2212076,2021
Argentina,Oxford/AstraZeneca,573235,2021
Argentina,Sinopharm/Beijing,774716,2021
Argentina,Sputnik V,2303034,2021
Argentina,Oxford/AstraZeneca,575891,2021
Argentina,Sinopharm/Beijing,783894,2021
Argentina,Sputnik V,2384794,2021
Argentina,Moderna,7,2021
Argentina,Oxford/AstraZeneca,576785,2021
Argentina,Sinopharm/Beijing,786202,2021
Argentina,Sputnik V,2436700,2021
Argentina,Oxford/AstraZeneca,577692,2021
Argentina,Pfizer/BioNTech,23,2021
Argentina,Sinopharm/Beijing,786677,2021
Argentina,Sputnik V,2456151,2021
Argentina,Oxford/AstraZeneca,581285,2021
Argentina,Pfizer/BioNTech,24,2021
Argentina,Sinopharm/Beijing,798184,2021
Argentina,Sputnik V,2561275,2021
Argentina,Oxford/AstraZeneca,584168,2021
Argentina,Pfizer/BioNTech,25,2021
Argentina,Sinopharm/Beijing,808684,2021
Argentina,Sputnik V,2710966,2021
Argentina,Oxford/AstraZeneca,604116,2021
Argentina,Sinopharm/Beijing,820699,2021
Argentina,Sputnik V,2854002,2021
Argentina,Oxford/AstraZeneca,629693,2021
Argentina,Sinopharm/Beijing,824462,2021
Argentina,Sputnik V,2941830,2021
Argentina,Oxford/AstraZeneca,642518,2021
Argentina,Sinopharm/Beijing,826784,2021
Argentina,Sputnik V,2994853,2021
Argentina,Oxford/AstraZeneca,661161,2021
Argentina,Sinopharm/Beijing,827875,2021
Argentina,Sputnik V,3049601,2021
Argentina,Moderna,8,2021
Argentina,Oxford/AstraZeneca,675558,2021
Argentina,Sinopharm/Beijing,829539,2021
Argentina,Sputnik V,3082037,2021
Argentina,Oxford/AstraZeneca,709399,2021
Argentina,Sinopharm/Beijing,858673,2021
Argentina,Sputnik V,3185101,2021
Argentina,Oxford/AstraZeneca,735867,2021
Argentina,Sinopharm/Beijing,933831,2021
Argentina,Sputnik V,3277524,2021
Argentina,Oxford/AstraZeneca,766109,2021
Argentina,Sinopharm/Beijing,1052158,2021
Argentina,Sputnik V,3367432,2021
Argentina,Oxford/AstraZeneca,790207,2021
Argentina,Pfizer/BioNTech,28,2021
Argentina,Sinopharm/Beijing,1182470,2021
Argentina,Sputnik V,3449026,2021
Argentina,Oxford/AstraZeneca,808564,2021
Argentina,Sinopharm/Beijing,1330065,2021
Argentina,Sputnik V,3523517,2021
Argentina,Oxford/AstraZeneca,813382,2021
Argentina,Sinopharm/Beijing,1384058,2021
Argentina,Sputnik V,3557664,2021
Argentina,Oxford/AstraZeneca,814249,2021
Argentina,Sinopharm/Beijing,1416914,2021
Argentina,Sputnik V,3572260,2021
Argentina,Oxford/AstraZeneca,824166,2021
Argentina,Sinopharm/Beijing,1512279,2021
Argentina,Sputnik V,3648828,2021
Argentina,Moderna,9,2021
Argentina,Oxford/AstraZeneca,832513,2021
Argentina,Sinopharm/Beijing,1594777,2021
Argentina,Sputnik V,3744098,2021
Argentina,Oxford/AstraZeneca,838958,2021
Argentina,Pfizer/BioNTech,29,2021
Argentina,Sinopharm/Beijing,1662164,2021
Argentina,Sputnik V,3841990,2021
Argentina,Oxford/AstraZeneca,843158,2021
Argentina,Sinopharm/Beijing,1713353,2021
Argentina,Sputnik V,3937740,2021
Argentina,Oxford/AstraZeneca,846443,2021
Argentina,Sinopharm/Beijing,1759468,2021
Argentina,Sputnik V,4012090,2021
Argentina,Oxford/AstraZeneca,847337,2021
Argentina,Sinopharm/Beijing,1775587,2021
Argentina,Sputnik V,4040807,2021
Argentina,Oxford/AstraZeneca,848612,2021
Argentina,Sinopharm/Beijing,1777850,2021
Argentina,Sputnik V,4057176,2021
Argentina,Oxford/AstraZeneca,864012,2021
Argentina,Pfizer/BioNTech,30,2021
Argentina,Sinopharm/Beijing,1802817,2021
Argentina,Sputnik V,4107319,2021
Argentina,Oxford/AstraZeneca,916554,2021
Argentina,Sinopharm/Beijing,1826860,2021
Argentina,Sputnik V,4153499,2021
Argentina,CanSino,6,2021
Argentina,Moderna,10,2021
Argentina,Oxford/AstraZeneca,1036850,2021
Argentina,Sinopharm/Beijing,1848084,2021
Argentina,Sputnik V,4185991,2021
Argentina,CanSino,7,2021
Argentina,Oxford/AstraZeneca,1154181,2021
Argentina,Sinopharm/Beijing,1863652,2021
Argentina,Sputnik V,4231335,2021
Argentina,Oxford/AstraZeneca,1272525,2021
Argentina,Sinopharm/Beijing,1877754,2021
Argentina,Sputnik V,4293495,2021
Argentina,Oxford/AstraZeneca,1326393,2021
Argentina,Sinopharm/Beijing,1879326,2021
Argentina,Sputnik V,4330314,2021
Argentina,Oxford/AstraZeneca,1358853,2021
Argentina,Sinopharm/Beijing,1879701,2021
Argentina,Sputnik V,4346802,2021
Argentina,Oxford/AstraZeneca,1431971,2021
Argentina,Pfizer/BioNTech,31,2021
Argentina,Sinopharm/Beijing,1887272,2021
Argentina,Sputnik V,4438277,2021
Argentina,Oxford/AstraZeneca,1491104,2021
Argentina,Pfizer/BioNTech,32,2021
Argentina,Sinopharm/Beijing,1894634,2021
Argentina,Sputnik V,4525564,2021
Argentina,Oxford/AstraZeneca,1543264,2021
Argentina,Pfizer/BioNTech,33,2021
Argentina,Sinopharm/Beijing,1922600,2021
Argentina,Sputnik V,4604497,2021
Argentina,Oxford/AstraZeneca,1582029,2021
Argentina,Sinopharm/Beijing,1962734,2021
Argentina,Sputnik V,4681948,2021
Argentina,Oxford/AstraZeneca,1612590,2021
Argentina,Sinopharm/Beijing,1998906,2021
Argentina,Sputnik V,4730210,2021
Argentina,Oxford/AstraZeneca,1617854,2021
Argentina,Sinopharm/Beijing,2002619,2021
Argentina,Sputnik V,4741546,2021
Argentina,Oxford/AstraZeneca,1624447,2021
Argentina,Sinopharm/Beijing,2016751,2021
Argentina,Sputnik V,4761002,2021
Argentina,Oxford/AstraZeneca,1648072,2021
Argentina,Pfizer/BioNTech,34,2021
Argentina,Sinopharm/Beijing,2090739,2021
Argentina,Sputnik V,4838160,2021
Argentina,Oxford/AstraZeneca,1671688,2021
Argentina,Sinopharm/Beijing,2184852,2021
Argentina,Sputnik V,4952535,2021
Argentina,Moderna,11,2021
Argentina,Oxford/AstraZeneca,1696614,2021
Argentina,Sinopharm/Beijing,2263457,2021
Argentina,Sputnik V,5094081,2021
Argentina,Oxford/AstraZeneca,1714455,2021
Argentina,Pfizer/BioNTech,35,2021
Argentina,Sinopharm/Beijing,2328104,2021
Argentina,Sputnik V,5214494,2021
Argentina,CanSino,8,2021
Argentina,Oxford/AstraZeneca,1728420,2021
Argentina,Sinopharm/Beijing,2424237,2021
Argentina,Sputnik V,5309830,2021
Argentina,Oxford/AstraZeneca,1732479,2021
Argentina,Sinopharm/Beijing,2465858,2021
Argentina,Sputnik V,5338442,2021
Argentina,Oxford/AstraZeneca,1734219,2021
Argentina,Sinopharm/Beijing,2469357,2021
Argentina,Sputnik V,5351901,2021
Argentina,Oxford/AstraZeneca,1744149,2021
Argentina,Sinopharm/Beijing,2533539,2021
Argentina,Sputnik V,5419519,2021
Argentina,Moderna,12,2021
Argentina,Oxford/AstraZeneca,1752428,2021
Argentina,Pfizer/BioNTech,36,2021
Argentina,Sinopharm/Beijing,2598396,2021
Argentina,Sputnik V,5486892,2021
Argentina,Moderna,13,2021
Argentina,Oxford/AstraZeneca,1758213,2021
Argentina,Sinopharm/Beijing,2737781,2021
Argentina,Sputnik V,5539402,2021
Argentina,Oxford/AstraZeneca,1763917,2021
Argentina,Sinopharm/Beijing,2886514,2021
Argentina,Sputnik V,5577164,2021
Argentina,Oxford/AstraZeneca,1773129,2021
Argentina,Sinopharm/Beijing,3034888,2021
Argentina,Sputnik V,5616160,2021
Argentina,Oxford/AstraZeneca,1776215,2021
Argentina,Sinopharm/Beijing,3085341,2021
Argentina,Sputnik V,5657740,2021
Argentina,Oxford/AstraZeneca,1777690,2021
Argentina,Sinopharm/Beijing,3128651,2021
Argentina,Sputnik V,5680563,2021
Argentina,Oxford/AstraZeneca,1785002,2021
Argentina,Pfizer/BioNTech,37,2021
Argentina,Sinopharm/Beijing,3224406,2021
Argentina,Sputnik V,5764496,2021
Argentina,Oxford/AstraZeneca,1794801,2021
Argentina,Sinopharm/Beijing,3269361,2021
Argentina,Sputnik V,5908051,2021
Argentina,Oxford/AstraZeneca,1802159,2021
Argentina,Pfizer/BioNTech,38,2021
Argentina,Sinopharm/Beijing,3302721,2021
Argentina,Sputnik V,6035123,2021
Argentina,Oxford/AstraZeneca,1812671,2021
Argentina,Sinopharm/Beijing,3338010,2021
Argentina,Sputnik V,6171986,2021
Argentina,Oxford/AstraZeneca,1821883,2021
Argentina,Sinopharm/Beijing,3416239,2021
Argentina,Sputnik V,6261871,2021
Argentina,Oxford/AstraZeneca,1823410,2021
Argentina,Sinopharm/Beijing,3460238,2021
Argentina,Sputnik V,6316814,2021
Argentina,Oxford/AstraZeneca,1823828,2021
Argentina,Sinopharm/Beijing,3483118,2021
Argentina,Sputnik V,6338794,2021
Argentina,Oxford/AstraZeneca,1825011,2021
Argentina,Pfizer/BioNTech,39,2021
Argentina,Sinopharm/Beijing,3502612,2021
Argentina,Sputnik V,6406514,2021
Argentina,Oxford/AstraZeneca,1847096,2021
Argentina,Sinopharm/Beijing,3505794,2021
Argentina,Sputnik V,6444687,2021
Argentina,Oxford/AstraZeneca,1873978,2021
Argentina,Sinopharm/Beijing,3539384,2021
Argentina,Sputnik V,6537383,2021
Argentina,Oxford/AstraZeneca,1919458,2021
Argentina,Sinopharm/Beijing,3572646,2021
Argentina,Sputnik V,6628122,2021
Argentina,Oxford/AstraZeneca,2011851,2021
Argentina,Sinopharm/Beijing,3601561,2021
Argentina,Sputnik V,6752992,2021
Argentina,Oxford/AstraZeneca,2121797,2021
Argentina,Pfizer/BioNTech,40,2021
Argentina,Sinopharm/Beijing,3611469,2021
Argentina,Sputnik V,6860677,2021
Argentina,Oxford/AstraZeneca,2180952,2021
Argentina,Sinopharm/Beijing,3613093,2021
Argentina,Sputnik V,6928797,2021
Argentina,Oxford/AstraZeneca,2308189,2021
Argentina,Sinopharm/Beijing,3630002,2021
Argentina,Sputnik V,7083773,2021
Argentina,Oxford/AstraZeneca,2457293,2021
Argentina,Sinopharm/Beijing,3643564,2021
Argentina,Sputnik V,7236106,2021
Argentina,CanSino,9,2021
Argentina,Oxford/AstraZeneca,2620882,2021
Argentina,Sinopharm/Beijing,3656714,2021
Argentina,Sputnik V,7368824,2021
Argentina,Oxford/AstraZeneca,2843840,2021
Argentina,Sinopharm/Beijing,3668939,2021
Argentina,Sputnik V,7483394,2021
Argentina,Oxford/AstraZeneca,3148989,2021
Argentina,Sinopharm/Beijing,3684805,2021
Argentina,Sputnik V,7570686,2021
Argentina,Oxford/AstraZeneca,3426780,2021
Argentina,Sinopharm/Beijing,3689488,2021
Argentina,Sputnik V,7615100,2021
Argentina,Oxford/AstraZeneca,3614714,2021
Argentina,Sinopharm/Beijing,3691524,2021
Argentina,Sputnik V,7642546,2021
Argentina,Oxford/AstraZeneca,3894247,2021
Argentina,Sinopharm/Beijing,3700897,2021
Argentina,Sputnik V,7706944,2021
Argentina,Oxford/AstraZeneca,4171756,2021
Argentina,Sinopharm/Beijing,3709017,2021
Argentina,Sputnik V,7791329,2021
Argentina,CanSino,11,2021
Argentina,Moderna,14,2021
Argentina,Oxford/AstraZeneca,4430847,2021
Argentina,Pfizer/BioNTech,41,2021
Argentina,Sinopharm/Beijing,3715817,2021
Argentina,Sputnik V,7897877,2021
Argentina,Moderna,15,2021
Argentina,Oxford/AstraZeneca,4654797,2021
Argentina,Pfizer/BioNTech,42,2021
Argentina,Sinopharm/Beijing,3721875,2021
Argentina,Sputnik V,8003023,2021
Argentina,Oxford/AstraZeneca,4839025,2021
Argentina,Sinopharm/Beijing,3732616,2021
Argentina,Sputnik V,8174936,2021
Argentina,Oxford/AstraZeneca,4905056,2021
Argentina,Sinopharm/Beijing,3744701,2021
Argentina,Sputnik V,8281989,2021
Argentina,Oxford/AstraZeneca,4949720,2021
Argentina,Sinopharm/Beijing,3746527,2021
Argentina,Sputnik V,8318201,2021
Argentina,Oxford/AstraZeneca,5076666,2021
Argentina,Sinopharm/Beijing,3757166,2021
Argentina,Sputnik V,8418740,2021
Argentina,Oxford/AstraZeneca,5206038,2021
Argentina,Pfizer/BioNTech,43,2021
Argentina,Sinopharm/Beijing,3762952,2021
Argentina,Sputnik V,8541505,2021
Argentina,Oxford/AstraZeneca,5391821,2021
Argentina,Sinopharm/Beijing,3767770,2021
Argentina,Sputnik V,8638124,2021
Argentina,Moderna,16,2021
Argentina,Oxford/AstraZeneca,5620996,2021
Argentina,Sinopharm/Beijing,3774100,2021
Argentina,Sputnik V,8717092,2021
Argentina,Moderna,17,2021
Argentina,Oxford/AstraZeneca,5945812,2021
Argentina,Pfizer/BioNTech,46,2021
Argentina,Sinopharm/Beijing,3780003,2021
Argentina,Sputnik V,8785785,2021
Argentina,Oxford/AstraZeneca,6132373,2021
Argentina,Sinopharm/Beijing,3782576,2021
Argentina,Sputnik V,8829293,2021
Argentina,Oxford/AstraZeneca,6210332,2021
Argentina,Sinopharm/Beijing,3782874,2021
Argentina,Sputnik V,8850261,2021
Argentina,Oxford/AstraZeneca,6348677,2021
Argentina,Pfizer/BioNTech,47,2021
Argentina,Sinopharm/Beijing,3784175,2021
Argentina,Sputnik V,8880373,2021
Argentina,Oxford/AstraZeneca,6576265,2021
Argentina,Pfizer/BioNTech,48,2021
Argentina,Sinopharm/Beijing,3790127,2021
Argentina,Sputnik V,8934835,2021
Argentina,Oxford/AstraZeneca,6770159,2021
Argentina,Sinopharm/Beijing,3814479,2021
Argentina,Sputnik V,8979841,2021
Argentina,Oxford/AstraZeneca,6945336,2021
Argentina,Sinopharm/Beijing,3887654,2021
